Date,Headline
2012-06-06,Fanatics raises $150 million at rich valuation
2012-06-06,Twitter's mobile revenue surpassed Web on many days: CEO
2012-06-06,"NASDAQ CEO: exchange ""embarrassed"" after Facebook IPO-CNBC"
2012-06-06,Nasdaq's $40 million offer for Facebook losses draws criticism
2012-06-06,"NASDAQ CEO says exchange owes ""apology"" after Facebook IPO: WSJ"
2012-06-07,"Facebook, Microsoft said shopping Manhattan space"
2012-06-07,Nasdaq rivals blast its Facebook compensation plan
2012-06-07,Direct Edge to contest Nasdaq plan to aid Facebook clients
2012-06-07,Knight says industry losses on Facebook IPO may be $200 mln
2012-06-07,Facebook IPO mishandling hurt investor confidence: TD Ameritrade
2012-06-08,UBS losses on Facebook as high as $350 mln -CNBC
2012-06-08,NYSE CEO-Facebook IPO eroded investor confidence-CNBC
2012-06-08,NYSE CEO: Facebook IPO eroded investor confidence: CNBC
2012-06-08,Facebook IPO mishandling hurt investor confidence: TD Ameritrade
2012-06-11,Facebook to join Russell 3000 index
2012-06-12,Zynga shares dive as Facebook game craze wanes
2012-06-12,Facebook consultant argues that website's ads work
2012-06-14,Nasdaq to skip U.S. House market hearing
2012-06-15,SEC quizzed Facebook on mobile trends before IPO
2012-06-15,Facebook CTO to depart in first senior-level exit
2012-06-15,Facebook sketches out IPO-mess defense; CTO departs
2012-06-15,Call app could lift Facebook sales: VoIP firm Rebtel
2012-06-15,"Facebook, banks, want shareholder lawsuits in NY court"
2012-06-15,Did extension to pre-IPO trading result in Facebook fiasco?
2012-06-15,WRAPUP 1-Facebook sketches out IPO-mess defense; CTO departs
2012-06-16,Facebook to pay $10 million to settle suit
2012-06-17,Big investors on sidelines in Facebook case: Frankel
2012-06-18,Facebook buys facial-recognition startup
2012-06-18,Social media puts fans in driving seat at Games
2012-06-18,Facebook to buy facial-recognition startup: sources
2012-06-18,Olympics-Social media puts fans in driving seat at Games
2012-06-19,Facebook pegs payment service to currencies
2012-06-19,Social media puts fans in driving seat at Games
2012-06-19,Analysis: Regulator seen conflicted in Nasdaq's Facebook mess
2012-06-20,Facebook's unique visitors slipped in May-comScore
2012-06-20,Facebook provides rare peek at how site is policed
2012-06-20,Facebook's unique visitors slipped in May: comScore
2012-06-20,"Yahoo, Facebook seek more time for settlement talks"
2012-06-20,Analysis: Facebook stock's bad start reins in short sellers
2012-06-21,Facebook will change ad service to settle lawsuit
2012-06-21,Lawmaker seeks advice on IPOs after Facebook fiasco
2012-06-21,Facebook's unique visitors slipped in May: comScore
2012-06-21,Louisiana sex offenders must soon post their status on Facebook
2012-06-22,Nasdaq volume surges on Russell rebalance
2012-06-22,Facebook expands ad business to Zynga's website
2012-06-22,"MARKET PULSE: Apple, Facebook, Johnson & Johnson"
2012-06-22,Louisiana sex offenders must soon post their status on Facebook
2012-06-25,Facebook taps COO Sandberg for board seat
2012-06-25,Facebook taps COO Sandberg to be first woman on board
2012-06-26,"MARKET PULSE: News Corp, Facebook, Coca-Cola"
2012-06-26,Facebook taps COO Sandberg to be first woman on board
2012-06-27,"Not all of Wall Street ""friending"" Facebook"
2012-06-27,Nasdaq to detail compensation to SEC next week-source
2012-06-27,EQT Midstream rises in debut but investors still wary
2012-06-27,COLUMN-Facebook's board needs more than Sandberg: Marcus
2012-06-27,"Analysis: Morgan Stanley faces Facebook fallout, limits damage"
2012-06-28,"Facebook,LinkedIn boost privacy drive-watchdog"
2012-06-28,"Facebook, LinkedIn boost privacy drive-watchdog"
2012-06-29,Facebook Q2 earnings results scheduled for July 26
2012-06-29,"ServiceNow soars in NYSE debut, bodes well for IPOs"
2012-06-29,SEC may order Nasdaq to upgrade trading systems: WSJ
2012-07-02,Facebook fallout chills IPO market
2012-07-02,Ad exec sues Interpublic over Facebook investment
